smoke, eyes, sponge, exchange, balance, clam, summer, desk, girls, pancake, bit, stitch, peace, insect, owner, sleep, thought
1086, >, 1, 0, 1, 1, 233, 26, 6, 0, voice, 0.000006, -1, 6, -0.250000, 45.691406, 0
35b0, :, 0, 1, 1, 0, 962, -2, 42, 1, pin, -0.004801, -5, 0, 2.250000, 562.333008, 0
6a4, b, 0, 0, 1, 1, 52, 10, 70, 1, nose, -0.499604, -15, 100, -3251.000000, 43.957031, 1
0, i, 0, 1, 1, 1, 114, -6, 808, 0, tree, 4.512063, 14, 11530, -40931.187500, -14.475586, 1
933, =, 0, 1, 1, 1, 8652, 0, 15157, 0, fifth, 0.000008, 5, 2282, 17337.062500, 46705.257812, 0
32, a, 0, 0, 0, 1, 0, 0, 15896, 1, dock, 0.000431, 0, 304, -0.062500, 335.791992, 0
6f62, l, 1, 1, 1, 1, 33, 3, 26, 1, engine, 0.000000, -63, 12, -198770.312500, -55.001953, 1
d, m, 1, 0, 1, 1, 168, -1, 8, 1, quince, -0.000028, -21, 4, 184984.687500, 14260.642578, 1
f, Q, 1, 1, 0, 0, 0, 59, 0, 1, silver, -0.000004, -7, 8, -875.062500, 14.600586, 1
184, <, 1, 1, 0, 0, 12, -51, 2, 0, whip, -0.258636, 18, 22352, -539.375000, -1.206055, 1
7f8, v, 1, 0, 0, 0, 59, -15, 69, 1, brain, -0.000015, 9, 42042, 43407.375000, -1589.735352, 1
d, 6, 0, 0, 0, 0, 168, -1, 15, 0, quince, 0.500339, -12, 5, 6.062500, -0.000977, 0
8f, K, 0, 1, 0, 0, 43922, -46, 93, 1, home, 0.000053, 2, 6496, 60732.750000, -0.306641, 0
1dfe, r, 0, 1, 1, 1, 29669, 0, 1020, 0, coast, -0.248367, 2, 1, 10.062500, 0.000000, 0
127, 3, 0, 1, 0, 0, 15, 0, 11742, 1, duck, -0.042241, 2, 15, -80448.812500, -0.257812, 1
552, Z, 0, 1, 0, 1, 33, 1, 35, 0, feast, 0.496419, 5, 6, 0.375000, -0.747070, 1
1fc7, K, 1, 1, 1, 0, 2, 2, 11627, 0, flower, -0.376956, -1, 2720, -240.312500, 18785.177734, 1
4, p, 1, 1, 0, 1, 78, -1, 18, 1, love, 0.000844, 0, 1850, 7.250000, 521.143555, 0
2, c, 1, 0, 0, 1, 211, 0, 1, 1, coach, 0.000002, 1, 1503, 0.062500, -4071.639648, 1
51, (, 0, 0, 0, 0, 4934, -88, 0, 0, box, 6.894721, -2, 100, -1958.000000, 58.490234, 0
6, i, 1, 0, 0, 1, 218, -62, 1593, 1, base, 0.000407, 0, 4, 0.000000, -0.014648, 1
12, c, 1, 0, 1, 1, 61927, 92, 4, 0, thumb, 0.000002, -8, 0, -7435.312500, 0.000000, 1
1d4, -, 0, 0, 0, 0, 159, -31, 7, 0, copy, -0.305207, -29, 15228, -25456.875000, -1.200195, 1
127, B, 0, 0, 1, 1, 15, 1, 0, 0, duck, 0.014108, 0, 15, -80448.812500, -0.257812, 0
8, V, 0, 1, 0, 1, 2, 28, 2899, 1, wall, -0.170019, 15, 260, -0.562500, -959.613281, 1
0, C, 1, 1, 0, 1, 47, -40, 520, 1, shoe, 6.105048, -1, 9, -0.062500, 0.005859, 0
6b49, -, 1, 0, 0, 0, 3428, 43, 5, 1, temper, -0.000015, 0, 120, 0.000000, -0.965820, 1
343, 2, 0, 1, 0, 0, 49, -19, 5086, 1, parcel, -0.080040, -2, 0, -3.625000, -7.080078, 0
7a5, A, 1, 0, 0, 0, 1324, 1, 126, 1, rate, -0.000001, 0, 7591, -84890.750000, -56.106445, 1
f, l, 1, 0, 1, 0, 3992, -1, 0, 0, snake, -0.000000, -7, 958, 0.062500, 0.202148, 1
0, !, 0, 0, 1, 0, 4111, -1, 5, 0, vein, -0.402919, -73, 11921, -0.125000, 0.000977, 0
5a, 7, 1, 0, 0, 0, 4, 1, 16152, 1, verse, 0.000000, -2, 44, -1958.000000, -206.270508, 0
45, k, 0, 1, 1, 1, 15774, -1, 14, 0, bottle, -0.001390, 53, 4060, 9333.187500, 996.945312, 0
4, 2, 0, 1, 0, 0, 1883, -1, 213, 1, baby, 0.468386, -5, 1, -0.062500, 4.014648, 0
65fb, ., 0, 0, 0, 0, 94, 6, 21612, 0, story, -0.000000, 2, 15049, 0.937500, -9.511719, 1
7f8, t, 0, 0, 1, 1, 59, -2, 2, 1, brain, 8.277740, 3, 960, 0.687500, 0.242188, 1
3b4, =, 1, 1, 0, 1, 12192, 27, 12481, 1, humor, -0.001062, -15, 21, 0.375000, 0.000000, 1
21fe, u, 0, 1, 0, 1, 1, -53, 1769, 0, houses, 208.036697, -1, 4, 7184.875000, -287.492188, 1
45, k, 0, 1, 1, 1, 15774, 6, 14, 1, bottle, -0.001390, -27, 28, 9333.187500, 996.945312, 0
1c, O, 1, 1, 0, 1, 83, -20, 207, 1, order, 0.000442, -122, 0, -0.312500, -8185.672852, 1
0, x, 1, 1, 0, 0, 47, 86, 1, 1, shoe, -0.000443, -6, 9, -0.062500, 0.005859, 0
c, X, 0, 1, 0, 0, 3780, -1, 3, 1, paste, -0.000003, 5, 18, -0.562500, -0.048828, 0
3d1, 2, 1, 0, 1, 1, 12192, -2, 12481, 1, ground, 0.000045, -2, 55660, -1.125000, -2.178711, 1
1, A, 1, 1, 0, 0, 10, -1, 4, 1, bubble, 0.000113, -34, 1, -250897.375000, -23.553711, 0
1d, >, 0, 1, 0, 0, 83, -20, 0, 1, rifle, -0.000000, -122, 0, -0.312500, 879.365234, 1
6a4, M, 1, 0, 1, 0, 372, 3, 1478, 1, nose, 0.000001, -15, 1, 150692.562500, 28272.253906, 0
f, Q, 1, 1, 0, 1, 0, 59, 3, 1, silver, 0.000000, -7, 8, -875.062500, 14.600586, 1
177, P, 1, 0, 1, 1, 230, -32, 30286, 1, house, -0.068858, 0, 29660, -858.062500, -0.093750, 0
15, p, 1, 0, 0, 0, 2, 0, 5081, 0, legs, -0.000924, -128, 16, 511.687500, 0.083984, 1
fd, y, 1, 0, 1, 0, 531, 62, 36, 1, cause, 0.034609, -107, 43, -19781.437500, -30.431641, 0
7, h, 1, 1, 1, 1, 23894, 1, 0, 0, drawer, 223.439957, 0, 23533, -2379.750000, -5.238281, 1
353c, u, 1, 1, 1, 0, 0, 0, 0, 0, yarn, -3.129572, -26, 7, 23747.937500, 0.572266, 1
19, F, 1, 1, 1, 1, 102, -44, 599, 0, card, 29.581188, -1, 91, -9350.687500, 151.859375, 0
8, v, 1, 1, 0, 0, 2, 28, 1, 0, wall, 0.000026, -88, 260, -0.562500, -959.613281, 1
36, (, 0, 1, 1, 0, 33000, -1, 0, 0, kiss, 0.001414, 5, 24400, -5.000000, -4764.867188, 1
0, S, 0, 1, 0, 0, 6319, 0, 8, 0, pencil, -0.094718, -1, 466, 259462.812500, 1410.181641, 0
e, i, 0, 0, 1, 0, 2900, -1, 3891, 0, kettle, -0.006858, -1, 2, 0.437500, -119.916992, 1
0, F, 1, 0, 0, 1, 280, 22, 6630, 1, record, -0.000001, 2, 0, -12.125000, 0.135742, 1
a, #, 0, 0, 0, 1, 3, -42, 38, 1, steam, -0.113140, 30, 3252, 1.312500, -0.001953, 0
2d8, 8, 0, 0, 0, 0, 404, -4, 1884, 1, move, 22.569378, -16, 0, -43.687500, -0.704102, 1
19, !, 1, 1, 1, 1, 45111, -10, 599, 0, card, 29.581188, -1, 91, -9350.687500, 707.811523, 1
65fb, <, 0, 0, 0, 1, 94, 0, 1065, 1, story, 0.000138, -32, 18, 0.937500, -946.861328, 1
362e, 1, 1, 1, 0, 0, 101, 2, 123, 1, duck, 0.006152, 1, 1, 11779.625000, 1.000000, 0
184, <, 1, 1, 0, 0, 12, -51, 2, 0, whip, -0.258636, 18, 22352, -539.375000, 0.788086, 1
1, =, 1, 0, 0, 0, 45, 68, 0, 0, month, 21.444485, -20, 3442, 2016.187500, 0.166992, 1
1d, >, 0, 1, 1, 1, 5381, 1, 0, 0, rifle, -0.000000, 22, 7, -222163.375000, 879.365234, 1
78, ;, 1, 0, 0, 0, 26618, -22, 18935, 1, polish, 0.827731, 14, 36, 86.250000, -4898.680664, 1
501, o, 1, 0, 0, 0, 16, -102, 24, 1, crown, -3.077137, 0, 9430, -19.125000, 1609.796875, 0
1772, >, 0, 1, 1, 0, 1815, 0, 7, 1, leaf, -1.520984, -8, 93, 0.062500, -2.464844, 0
0, D, 0, 1, 1, 1, 17158, -83, 45, 1, loss, -1.426792, 58, 3, 90409.750000, -477.691406, 0
1, m, 1, 0, 1, 1, 0, 48, 3393, 0, clover, -0.091253, -2, 4, -0.187500, -43606.675781, 1
c, P, 0, 1, 0, 0, 379, 5, 3, 1, paste, -0.000003, 5, 2500, -0.562500, 0.250000, 1
c, P, 1, 1, 1, 0, 31914, -80, 9196, 1, sticks, 0.018722, -25, 29865, -0.812500, -120.537109, 1
2, <, 1, 1, 0, 0, 69, 28, 13, 1, shape, -0.000043, 6, 2420, -0.062500, 29.182617, 0
7a5, /, 1, 1, 0, 1, 0, 1, 514, 1, rate, 1.192467, -6, 10, 20.187500, -492.820312, 1
e, i, 0, 0, 0, 1, 2900, -1, 3891, 0, kettle, 0.010309, -64, 2, 0.437500, 400.838867, 0
2, k, 0, 1, 0, 1, 57, -86, 37, 1, mitten, -0.000000, -13, 18, -19.312500, -47409.468750, 0
29, I, 0, 1, 1, 1, 2, 85, 12, 0, grip, 0.005885, 0, 17, -245055.125000, 22.401367, 1
d, m, 0, 1, 0, 1, 1282, -1, 126, 1, profit, -0.000028, -2, 43719, -11563.312500, -0.267578, 1
0, x, 0, 1, 0, 1, 47, -40, 1717, 1, shoe, -0.038542, -1, 9, -0.062500, 0.005859, 0
0, 0, 1, 1, 0, 0, 173, 1, 1, 1, cannon, -0.000023, -62, 0, 5.750000, 188.838867, 0
153, P, 1, 0, 0, 1, 50, 1, 3885, 0, police, -0.000000, 0, 3, -138010.187500, -0.007812, 1
6c7, x, 1, 1, 1, 0, 1612, -8, 505, 0, spoon, -0.000002, -78, 216, -0.062500, -15435.285156, 1
65fb, <, 0, 1, 1, 1, 94, 6, 1065, 1, story, -0.000000, 1, 38, 0.937500, 1.000000, 1
e01, 1, 1, 1, 1, 0, 11, 37, 0, 1, pets, 0.003986, -9, 30, 13693.875000, 0.360352, 0
77, a, 1, 0, 0, 0, 101, 8, 7580, 0, join, -254.114685, -5, 801, 3.312500, -4.901367, 0
3aa, P, 0, 0, 1, 0, 1, 61, 2, 0, toes, 0.466545, 0, 159, 30831.500000, -0.004883, 1
1ef9, 1, 1, 1, 0, 0, 2, -10, 477, 1, drawer, 0.092187, -1, 32647, 5.125000, 513.755859, 0
0, S, 0, 0, 0, 0, 6319, 20, 8, 0, pencil, 0.000009, 0, 664, 259462.812500, 1410.181641, 0
c3, 1, 1, 0, 0, 0, 2, 34, 4047, 1, drain, -0.000007, -88, 10, -72527.312500, 0.014648, 1
3, ], 0, 1, 1, 0, 56, 3, 12620, 0, suit, -0.000014, -3, 0, 1.125000, -19.735352, 0
366, ), 0, 0, 1, 0, 15561, 61, 7865, 0, ice, 0.912350, 0, 14, 30831.500000, 424.975586, 0
345, d, 0, 1, 0, 1, 92, -6, 2995, 0, robin, -0.000012, 2, 0, 5542.875000, -0.031250, 1
1fa, i, 1, 0, 0, 0, 28, -1, 2, 0, weight, 0.000253, 81, 0, -0.062500, 0.005859, 1
e4, g, 0, 1, 1, 0, 3, -2, 113, 1, island, -0.000015, -14, 8013, 7.187500, -8600.289062, 0
e6c, G, 1, 0, 0, 1, 1873, -1, 1223, 0, cart, -0.000154, -1, 321, 1.437500, -0.183594, 0
fd, a, 1, 1, 1, 0, 531, -27, 1, 1, yoke, -0.000000, 4, 28, 11638.375000, 0.293945, 0
0, F, 1, 0, 0, 1, 280, -31, 3, 1, record, -139.862671, 2, 0, -12.125000, 3.479492, 0
c3, 1, 1, 0, 0, 1, 2, -12, 22, 1, drain, -0.055200, -88, 10, -72527.312500, -0.000000, 1
1, ^, 1, 1, 1, 0, 433, -2, 1590, 0, need, 0.000527, 7, 1, 0.187500, -0.000977, 0
f, w, 0, 1, 1, 1, 5, -127, 1122, 0, muscle, -0.001532, -106, 143, 999.000000, 0.004883, 1
0, x, 1, 1, 1, 1, 0, 29, 7384, 1, mitten, -0.001925, 8, 31676, -193.562500, -3413.037109, 1
45, c, 0, 0, 0, 1, 1, -1, 25102, 1, crack, -0.000418, 23, 242, -198.437500, 1118.567383, 1
d57, D, 1, 0, 0, 0, 6983, 10, 1502, 1, ink, 0.007540, 0, 0, -1.875000, 0.001953, 0
e, $, 1, 1, 1, 1, 61, 0, 163, 1, tail, -0.000012, -1, 398, -45825.062500, 0.000977, 0
a, I, 0, 1, 0, 0, 477, -2, 1505, 1, light, -0.317386, 0, 1, 23005.250000, 0.001953, 1
26, q, 1, 0, 1, 1, 2397, 29, 52, 0, floor, 0.000002, -6, 19264, -13845.687500, 12421.784180, 0
e6a, 6, 1, 0, 1, 1, 0, 12, 5, 0, houses, -0.002549, 1, 34, 192.500000, -473.117188, 1
16e7, v, 1, 1, 0, 0, 1699, -18, 19284, 1, canvas, -0.000249, -62, 641, -3.125000, -52.268555, 1
19, [, 1, 0, 0, 0, 13, -15, 1, 1, death, 147.744049, -17, 91, 0.625000, -2232.247070, 1
3d1, r, 0, 0, 1, 0, 3, -34, 5, 0, ground, -0.000934, -2, 12, -1.125000, 0.090820, 0
5a, 7, 1, 0, 0, 0, 4, 0, 16152, 1, verse, 0.000000, -2, 44, -1958.000000, -206.270508, 0
1c51, ), 1, 1, 0, 1, 4755, 14, 1, 0, pig, 0.007101, -3, 2, 1.000000, -0.000977, 1
6, #, 1, 1, 0, 0, 22685, -8, 2, 0, blow, 0.168632, 13, 322, 7586.687500, 0.083984, 0
1e, v, 0, 1, 0, 0, 11493, 52, 63, 1, face, -0.192311, 0, 52329, 27916.062500, -61.342773, 1
1, m, 0, 0, 1, 0, 0, -1, 4, 1, clover, 0.000113, -2, 2728, -0.187500, -43606.675781, 1
1086, =, 0, 0, 1, 0, 233, 26, 13139, 0, voice, 186.715820, 1, 159, -0.250000, 53650.027344, 0
a97, *, 1, 1, 1, 1, 51837, -1, 9, 0, porter, -0.001602, 111, 15855, -2103.937500, 336.056641, 1
2bf, g, 0, 0, 1, 1, 14, 58, 1014, 1, school, 0.000000, 13, 7524, 21.750000, -3.560547, 1
31b, F, 0, 1, 1, 1, 1182, 0, 4, 1, kitten, -0.000000, 8, 1, 3.750000, -55552.710938, 1
15, p, 0, 0, 0, 1, 2, 26, 30784, 0, legs, -0.000924, -128, 16, 511.687500, -25.976562, 1
1c51, ), 0, 0, 0, 1, 5, -1, 14, 0, pig, -4.524449, -7, 43, -0.875000, -0.000977, 1
4, 2, 0, 1, 0, 0, 1883, -1, 213, 1, baby, 0.468386, -5, 12461, -0.062500, 352.380859, 0
353c, D, 1, 0, 1, 1, 0, 16, 0, 0, yarn, -3.129572, 1, 7, 23747.937500, 1565.063477, 0
efe, [, 0, 1, 0, 1, 0, 22, 6684, 1, cough, 0.000003, 26, 904, 39.937500, -51393.179688, 1
184, E, 0, 1, 0, 0, 21, -6, 880, 1, whip, -39.986721, -106, 2, -1.250000, 13.437500, 0
933, 7, 0, 1, 1, 1, 1, 61, 252, 0, fifth, -0.000000, 1, 48, 17337.062500, 2.282227, 0
2, c, 0, 0, 0, 1, 211, 0, 0, 1, coach, 0.000002, 1, 5, 0.062500, -441.658203, 1
5, ], 0, 0, 1, 0, 16, -1, 5709, 0, loss, -6.496713, -5, 3787, -83.687500, 50.178711, 1
3, f, 1, 1, 0, 0, 1883, -1, 244, 1, work, 0.468386, -5, 1, -50.062500, 4.014648, 0
7a5, /, 1, 1, 1, 0, 1324, 1, 154, 1, rate, 0.000007, 2, 7033, 10524.187500, 649.305664, 0
41b, k, 0, 1, 1, 1, 97, -2, 1, 0, war, -108.542389, -3, 11500, -83326.375000, -0.031250, 0
1166, x, 1, 1, 0, 1, 5295, 0, 21, 1, trees, -0.000010, -16, 5227, -553.500000, 1316.103516, 1
5, h, 1, 1, 1, 1, 12996, 23, 897, 1, shade, -0.000000, -1, 14, 0.500000, -186.519531, 1
c3, g, 0, 1, 0, 0, 3, -3, 22, 1, drain, -0.000354, 3, 8013, 7.875000, -8600.289062, 1
0, 7, 1, 1, 1, 0, 1, -2, 10781, 1, care, -0.013077, -14, 0, 13314.187500, 0.003906, 0
1a, k, 0, 1, 1, 1, 3361, -7, 275, 1, square, 38.680500, 2, 1102, -4.687500, 0.017578, 0
16e7, O, 0, 1, 0, 1, 1699, 1, 0, 1, canvas, 0.000009, -2, 0, -3.125000, -0.006836, 0
933, 7, 0, 0, 1, 1, 8652, -123, 206, 1, fifth, 1.000000, 4, 2282, 17337.062500, 46705.257812, 0
19b, *, 1, 0, 0, 0, 21, -6, 880, 1, list, -0.001070, 1, 2, -1.250000, 13.437500, 0
